,time,result,fleet size
0,1801.707569360733,5463.62006643162,28
1,1801.1123349666595,4891.167916966595,25
2,1802.6390714645386,4916.796297345059,28
3,1801.845490694046,4544.570008211367,27
4,1610.5442869663239,5212.216696969938,27
5,1147.300488948822,4748.080160759393,27
6,1551.305938243866,5020.94823820801,28
7,1444.5211210250854,5094.200301519796,28
8,1801.3045597076416,4542.9383453390365,25
9,1498.9381756782532,5418.640079592454,28
10,1771.5286581516266,4846.196712203119,27
11,1054.4828839302063,5671.576215287903,27
12,1801.3083505630493,5413.596410431996,27
13,1350.4899153709412,4833.720581625217,27
14,1127.5105512142181,5443.40918977276,26
15,1802.5751676559448,4816.561243216009,28
16,912.5827815532684,5406.8664571943,27
17,1801.3283250331879,5050.325609700393,28
18,1801.0993757247925,4578.746045324192,26
19,1802.6065464019775,4891.272687638364,28
