,time,lower_bounds,upper_bounds,fleet size
0,1800.1562321186066,1103.4985509658943,2394.9545009258645,30.0
1,1801.1016118526459,1086.7349085606822,2385.65216906303,29.0
2,1800.543347120285,1134.8236800384211,2285.352250863489,30.0
3,1800.096279144287,1090.6773922361413,2252.393784569479,28.0
4,1801.4474668502808,1232.877822935448,2533.4998637193185,30.0
5,1801.7334427833557,1010.8301695836255,2210.0789361901134,29.0
6,1801.5677280426025,1020.558546268523,2317.1929209583805,29.0
7,1802.4076609611511,1089.9755369519075,2433.9320539287187,30.0
8,1800.2111248970032,924.9287709155454,2121.5070922007612,28.0
9,1803.3675179481506,1165.9288053710711,2418.9017631667643,30.0
10,1801.1779081821442,1047.082859765891,2330.827096944593,32.0
11,1811.7646491527557,1130.323535421437,2461.408319252942,28.0
12,1800.8046438694,1102.5960002298252,2363.1795036292106,28.0
13,1802.2476000785828,1024.2220951462093,2306.389440682482,30.0
14,1811.3837099075317,1093.6565941033946,2458.3181334813585,30.0
15,1805.0180559158325,1059.9320968959937,2322.1892917793257,29.0
16,1803.148391008377,1152.380811069445,2518.410033926206,29.0
17,1804.327691078186,1048.9704190294392,2386.6145262179316,32.0
18,1815.7989039421082,904.63151861499,2056.6259383134834,27.0
19,1813.3038339614868,1120.0469449133227,2598.879303876144,32.0
